gut_id,title,authors,languages,downloads,subjects,gutenberg_epub_url
71916,The salon and English letters : $b Chapters on the interrelations of literature and society in the age of Johnson,"Tinker, Chauncey Brewster",en,357,"English literature -- 18th century -- History and criticism; Great Britain -- Intellectual life -- 18th century; Johnson, Samuel, 1709-1784 -- Contemporaries; Salons -- Great Britain -- History -- 18th century",https://www.gutenberg.org/ebooks/71916.epub3.images
2552,Thankful's Inheritance,"Lincoln, Joseph Crosby",en,356,Boardinghouses -- Fiction; Cape Cod (Mass.) -- Fiction; Inheritance and succession -- Fiction; Massachusetts -- Fiction; Widows -- Fiction,https://www.gutenberg.org/ebooks/2552.epub3.images
10202,"Maria Mitchell: Life, Letters, and Journals","Mitchell, Maria",en,356,"Astronomers -- United States -- Biography; Mitchell, Maria, 1818-1889; Women astronomers -- United States -- Biography",https://www.gutenberg.org/ebooks/10202.epub3.images
13887,"Dr. Allinson's cookery book, comprising many valuable vegetarian recipes","Allinson, T. R. (Thomas Richard)",en,356,Vegetarian cooking,https://www.gutenberg.org/ebooks/13887.epub3.images
59836,The Geologic Story of Glacier National Park,"Dyson, James L. (James Lindsay)",en,356,Geology -- Montana -- Glacier National Park; Glacier National Park (Mont.),https://www.gutenberg.org/ebooks/59836.epub3.images
62374,The Story of the Alphabet,"Ege, Otto F.",en,356,Alphabet; Writing -- History,https://www.gutenberg.org/ebooks/62374.epub3.images
71312,Leprosy : $b in its clinical & pathological aspects,"Hansen, G. Armauer (Gerhard Armauer), Looft, Carl",en,356,Leprosy,https://www.gutenberg.org/ebooks/71312.epub3.images
76768,English grammar,"Stewart, Lillian Kimball",en,356,English language -- Grammar,https://www.gutenberg.org/ebooks/76768.epub3.images
3777,"Tom Swift and His Electric Rifle; Or, Daring Adventures in Elephant Land","Appleton, Victor",en,355,"Africa -- Juvenile fiction; Elephant hunting -- Juvenile fiction; Swift, Tom (Fictitious character) -- Juvenile fiction",https://www.gutenberg.org/ebooks/3777.epub3.images
6936,Robinson Crusoe — in Words of One Syllable,"Defoe, Daniel, Aikin, Lucy",en,355,"Adventure stories; Crusoe, Robinson (Fictitious character) -- Fiction; Shipwreck survival -- Fiction",https://www.gutenberg.org/ebooks/6936.epub3.images
20902,The Clyde Mystery: a Study in Forgeries and Folklore,"Lang, Andrew",en,355,Archaeology,https://www.gutenberg.org/ebooks/20902.epub3.images
30661,Pedagogics as a System,"Rosenkranz, Karl",en,355,Education,https://www.gutenberg.org/ebooks/30661.epub3.images
35889,Seed-time and Harvest: A Novel,"Reuter, Fritz",en,355,Farm life -- Fiction,https://www.gutenberg.org/ebooks/35889.epub3.images
64024,Translations from Lucretius,"Lucretius Carus, Titus",en,355,"Didactic poetry, Latin -- Translations into English",https://www.gutenberg.org/ebooks/64024.epub3.images
67597,Bantu Folk Lore (Medical and General),"Hewat, Matthew L.",en,355,Pondo (African people); Traditional medicine -- South Africa; Xhosa (African people); Zulu (African people),https://www.gutenberg.org/ebooks/67597.epub3.images
72601,"A rough sketch of modern Paris : $b or, Letters on society, manners, public curiosities, and amusements, in that capital","Lemaistre, J. G. (John Gustavus)",en,355,Paris (France) -- Description and travel,https://www.gutenberg.org/ebooks/72601.epub3.images
76356,The universe around us,"Jeans, James",en,355,Astronomy; Cosmogony,https://www.gutenberg.org/ebooks/76356.epub3.images
3462,More Hunting Wasps,"Fabre, Jean-Henri",en,354,Wasps,https://www.gutenberg.org/ebooks/3462.epub3.images
12524,"The Englishing of French Words; the Dialectal Words in Blunden's Poems: Society for Pure English, Tract 05",Society for Pure English,en,354,English language -- Dialects; English language -- Foreign elements -- French; English language -- Gallicisms; French language -- Influence on English,https://www.gutenberg.org/ebooks/12524.epub3.images
18545,A Mummer's Tale,"France, Anatole",en,354,Fiction,https://www.gutenberg.org/ebooks/18545.epub3.images
27189,"""Bethink Yourselves!""","Tolstoy, Leo, graf",en,354,"Peace; Russo-Japanese War, 1904-1905",https://www.gutenberg.org/ebooks/27189.epub3.images
