domain,gut_id,title,authors,languages,downloads,subjects,preferred_source,preferred_url,gutenberg_epub_url
literature_core,1727,The Odyssey: Rendered into English prose for the use of those who cannot read the original,Homer,en,20234,"Epic poetry, Greek -- Translations into English; Homer -- Translations into English; Odysseus, King of Ithaca (Mythological character)",gutenberg,https://www.gutenberg.org/ebooks/1727.epub3.images,https://www.gutenberg.org/ebooks/1727.epub3.images
literature_core,2680,Meditations,"Marcus Aurelius, Emperor of Rome",en,19220,Ethics; Life; Stoics,standardebooks,https://standardebooks.org/ebooks/marcus-aurelius/meditations/george-long/downloads/marcus-aurelius_meditations_george-long.epub?source=feed,https://www.gutenberg.org/ebooks/2680.epub3.images
literature_core,1399,Anna Karenina,"Tolstoy, Leo, graf",en,18689,Adultery -- Fiction; Didactic fiction; Love stories; Married women -- Fiction; Russia -- Fiction,standardebooks,https://standardebooks.org/ebooks/leo-tolstoy/anna-karenina/constance-garnett/downloads/leo-tolstoy_anna-karenina_constance-garnett.epub?source=feed,https://www.gutenberg.org/ebooks/1399.epub3.images
literature_core,1497,The Republic,Plato,en,18489,Classical literature; Justice -- Early works to 1800; Political science -- Early works to 1800; Utopias -- Early works to 1800,gutenberg,https://www.gutenberg.org/ebooks/1497.epub3.images,https://www.gutenberg.org/ebooks/1497.epub3.images
literature_core,8800,The divine comedy,Dante Alighieri,en,18358,"Epic poetry, Italian -- Translations into English; Italian poetry -- To 1400 -- Translations into English",gutenberg,https://www.gutenberg.org/ebooks/8800.epub3.images,https://www.gutenberg.org/ebooks/8800.epub3.images
literature_core,41445,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",en,17116,"Frankenstein's monster (Fictitious character) -- Fiction; Frankenstein, Victor (Fictitious character) -- Fiction; Gothic fiction; Horror tales; Monsters -- Fiction; Science fiction; Scientists -- Fiction",gutenberg,https://www.gutenberg.org/ebooks/41445.epub3.images,https://www.gutenberg.org/ebooks/41445.epub3.images
literature_core,135,Les Misérables,"Hugo, Victor",en,16589,Epic literature; Ex-convicts -- Fiction; Historical fiction; Orphans -- Fiction; Paris (France) -- Fiction,standardebooks,https://standardebooks.org/ebooks/victor-hugo/les-miserables/isabel-f-hapgood/downloads/victor-hugo_les-miserables_isabel-f-hapgood.epub?source=feed,https://www.gutenberg.org/ebooks/135.epub3.images
literature_core,2852,The Hound of the Baskervilles,"Doyle, Arthur Conan",en,16426,"Blessing and cursing -- Fiction; Dartmoor (England) -- Fiction; Detective and mystery stories; Dogs -- Fiction; Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction",standardebooks,https://standardebooks.org/ebooks/arthur-conan-doyle/the-hound-of-the-baskervilles/downloads/arthur-conan-doyle_the-hound-of-the-baskervilles.epub?source=feed,https://www.gutenberg.org/ebooks/2852.epub3.images
literature_core,7241,"Fables of La Fontaine — a New Edition, with Notes","La Fontaine, Jean de",en,16254,"Fables, French -- Translations into English",gutenberg,https://www.gutenberg.org/ebooks/7241.epub3.images,https://www.gutenberg.org/ebooks/7241.epub3.images
literature_core,161,Sense and Sensibility,"Austen, Jane",en,15762,Domestic fiction; England -- Fiction; England -- Social life and customs -- 19th century -- Fiction; Gentry -- England -- Fiction; Inheritance and succession -- Fiction; Love stories; Mate selection -- Fiction; Regency fiction; Sisters -- Fiction; Social classes -- Fiction; Young women -- Fiction,gutenberg,https://www.gutenberg.org/ebooks/161.epub3.images,https://www.gutenberg.org/ebooks/161.epub3.images
